serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,monthly_income_imputed
0,0.305682465,57,0,5710.0,27000.0,8,0,3,0,0.0,27000.0
0,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0,16000.0
0,0.9999999,24,0,0.472703063,750.0,1,0,0,0,0.0,3534.0
0,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0,2249.0
0,0.469056842,31,0,0.048211004,9250.0,4,0,0,0,1.0,6263.0
0,0.140110634,31,0,0.689370485,1937.0,4,0,2,0,0.0,3000.0
0,0.454971915,46,1,0.016921775,13000.0,10,0,0,0,1.0,11520.0
0,0.651603452,58,0,0.241135663,7783.0,11,0,1,0,0.0,4500.0
0,0.027399502000000003,69,0,0.00803428,5600.0,3,0,0,0,0.0,5166.0
0,0.26948375,64,0,0.16106176,9455.0,13,0,1,0,3.0,8666.0
0,0.827708197,56,0,0.369590815,6793.0,15,1,1,0,0.0,10000.0
1,0.13306279,49,1,0.182881653,10257.0,9,0,2,0,3.0,6696.0
0,0.270522569,41,0,2.797698945,1042.0,11,0,2,0,2.0,10166.0
0,0.074861676,66,0,0.208842479,4500.0,3,0,1,0,0.0,3100.0
0,0.017258976999999998,53,0,2.604510673,12414.0,13,0,1,0,2.0,8666.0
0,0.054497069,56,0,0.492021814,4950.0,18,0,2,0,0.0,11300.0
1,0.734477501,45,0,0.591477634,4716.0,13,0,2,0,2.0,12250.0
0,0.08056416799999999,60,0,0.4872889970000001,4916.0,15,0,2,0,0.0,17897.0
0,0.023767433,83,0,0.123797734,10500.0,13,0,0,0,0.0,6000.0
0,0.363199686,32,0,0.4805239570000001,2900.0,4,0,1,0,0.0,9916.0
0,0.013024673999999998,61,0,15.0,6263.0,4,0,0,0,0.0,6263.0
0,0.888008615,44,0,0.299246282,4908.0,8,0,0,0,1.0,1698.0
0,0.018886792,80,0,0.0034787790000000004,10060.0,5,0,0,0,0.0,2708.0
0,0.6354151570000001,32,0,0.519493502,3000.0,4,0,1,0,1.0,9916.0
0,0.096737158,47,0,0.009748781,8000.0,2,0,0,0,2.0,3166.0
0,0.180972181,39,1,0.384441575,3097.0,7,0,1,0,3.0,5500.0
0,0.06790706,46,0,0.149103029,10200.0,6,0,2,0,0.0,20000.0
0,0.297594642,67,0,0.239507959,4145.0,13,0,0,0,0.0,6000.0
0,0.444837661,58,0,0.366545247,14000.0,9,0,2,1,4.0,6696.0
0,0.0,59,0,0.35169962200000005,4500.0,12,0,1,0,0.0,6204.0
0,0.17572759300000002,43,1,994.0,9916.0,4,0,1,0,0.0,9916.0
0,0.21955042,54,0,0.315983758,5417.0,20,0,2,0,1.0,13600.0
0,0.147996253,55,0,0.323088235,6799.0,5,0,1,0,0.0,4741.0
0,0.362483818,27,0,567.0,6263.0,4,0,0,0,0.0,6263.0
0,0.0,48,2,0.370876375,3000.0,14,0,1,0,5.0,2249.0
0,0.21286031,36,0,0.563752087,9583.0,10,0,2,0,1.0,4218.0
0,0.121557062,58,0,0.342971419,12000.0,23,0,2,0,4.0,10026.0
0,0.0,63,0,2.0,6263.0,4,0,0,0,0.0,6263.0
0,0.170103002,36,0,0.138461538,7734.0,8,0,0,0,0.0,1698.0
0,0.13527952,58,0,0.342005076,9455.0,11,0,2,0,2.0,10166.0
0,0.055549313,65,0,2177.0,8533.0,6,0,1,0,1.0,8533.0
